date,Line 1 Current RMS,Line 2 Current RMS,Line 3 Current RMS,Line 1 Voltage RMS,Line 2 Voltage RMS,Line 3 Voltage RMS,Line 1 power factor,Line 2 power factor,Line 3 power factor,motor_temperature,TachoSpeed(RPM)
20200527_15:15:29.378621,60.52232667450059,61.755078125,60.57424775302853,61.330588235294115,60.73148507173323,60.776495893625345,0.9999916692243551,0.9987619706897776,0.9999942746251055,33.11160398054676,1755.4285714285713
20200527_15:15:30.378653,61.14442700156986,60.58110205665503,61.04463586530932,61.44776119402985,60.83100233100233,61.02742946708464,0.999994805650807,0.9999932971426798,0.9999939163202014,32.81783882471211,1755.4285714285713
20200527_15:15:31.378722,60.85666535587888,60.813374805598755,61.364260494311495,61.36343959071232,61.23063448812768,61.26168040832352,0.9999947020615486,0.9999934849093368,0.9999925655674468,32.7759539860773,1755.4285714285713
20200527_15:15:32.378769,61.604533020711216,60.74503311258278,60.569575471698116,61.45170121235823,60.64352574102964,61.397324940991346,0.998909034046696,0.9999945555762818,0.9999942601052364,32.76982068039109,1755.4285714285713
20200527_15:15:33.378817,61.19798136645963,60.54254488680718,60.75443087829854,61.23193473193473,60.87670965220789,61.082844861273934,0.9999947945502851,0.9999930756806086,0.9999934860432691,33.04884007576004,1755.4285714285713
20200527_15:15:34.378843,61.448269155970436,60.775713727023856,61.485133020344286,60.56150253016738,61.32967893500391,61.263883495145635,0.9999947908493318,0.9999934849205139,0.9987576894638377,32.82070474902201,1755.4285714285713
20200527_15:15:35.378867,61.24785658612627,61.21238244514107,60.646910221531286,61.04485179407176,60.85764705882353,60.628743679502136,0.9999935455200031,0.9999951866405086,0.9999947871366464,33.014900533879086,1755.4285714285713
20200527_15:15:36.378929,61.02909019914096,60.92481350608559,60.644470404984425,60.74345447440406,60.519646365422396,61.464522417153994,0.9999952590607432,0.9999930271792292,0.9999935911532275,32.986731156036626,1745.4545454545455
20200527_15:15:37.378980,61.22926447574335,61.09284028324154,61.21361685524776,61.06147220046985,61.83990628660679,60.64296875,0.9999945112474661,0.9999931224069238,0.9999929035814774,32.82643181224847,1745.4545454545455
20200527_15:15:38.378982,61.44749216300941,61.87260648690895,60.54026583268178,60.789917614750884,60.69860356865787,61.11150234741784,0.9999934077268983,0.9987498236609451,0.9999945053156647,32.83461165607315,1755.4285714285713
20200527_15:15:39.379012,60.60482921083628,60.764363354037265,60.993145319232276,61.16011787819254,60.964438398756315,60.99313994511956,0.9999944179245448,0.999992405040496,0.9999932311759969,32.87039307173001,1755.4285714285713
20200527_15:15:40.379076,61.02557041699449,61.33119408790354,61.330455259026685,61.8059351815697,61.26479750778816,61.14454045561666,0.9999940626845941,0.9999942582528574,0.9999935114034324,32.96041514592173,1755.4285714285713
20200527_15:15:41.379122,61.51954652071931,60.67770849571317,60.77251278018089,60.69860356865787,60.610417479516194,61.32959464777647,0.9987568819454378,0.9999949733007271,0.9999948777781966,32.83752781974164,1755.4285714285713
20200527_15:15:42.379128,61.41572815533981,61.3141351034752,60.72025216706068,60.84784298484259,61.43119624706802,61.822448181462654,0.999994440507523,0.9999928363770217,0.9999926959336985,32.841795015031096,1755.4285714285713
20200527_15:15:43.379159,60.82996108949416,60.876369327073554,60.8651532790066,60.929906542056074,61.04385277995301,61.315073815073816,0.9999944315181342,0.9996791776370012,0.9999944655546296,33.004970804887705,1755.4285714285713
20200527_15:15:44.379209,60.81228070175439,60.67326538612309,60.82970451010886,60.659968786578226,61.21204393879953,60.612451361867706,0.9999937429291795,0.9999945587103146,0.9999947140731503,32.90264384653648,1755.4285714285713
20200527_15:15:45.379217,61.029296875,61.46504320502749,60.56116088819634,61.330336200156374,60.805817610062896,61.06357254290172,0.9999940033630883,0.999993373580036,0.9999922777177088,32.79885062856647,1755.4285714285713
20200527_15:15:46.379273,60.57394366197183,60.75423061786698,61.14676034348165,60.67391304347826,61.83984375,60.97734375,0.9999944565137746,0.9999942406554949,0.9999935370107347,32.773771671255474,1755.4285714285713
20200527_15:15:47.379320,61.34633477067817,61.41907740422205,60.775322643723115,60.756671899529046,61.197710516103996,61.11213307240705,0.9999942568308928,0.9987615486256789,0.9999137471403273,32.99310022059109,1750.4273504273503
20200527_15:15:48.379356,61.093087195600944,60.68058252427184,61.17907523510972,61.31281950452222,60.56298600311042,61.077254901960785,0.9999933901980805,0.9999940313300464,0.9999924432710875,32.836191859236976,1755.4285714285713
20200527_15:15:49.379404,60.77075954348682,60.76303501945525,61.1438947781704,61.368359375,61.0457732761979,60.68742632612967,0.9999945145334023,0.9999943294038993,0.9999947977178096,33.04653283341122,1755.4285714285713
20200527_15:15:50.379408,61.485725459522875,61.09649122807018,61.227773406766325,61.43131548311991,61.331381733021075,60.70275590551181,0.9987476741741518,0.9999946079172092,0.9999942562741494,32.7054410338726,1755.4285714285713
20200527_15:15:51.379415,61.13092463092463,61.14609375,61.83860883157483,61.28188180404354,61.061986703167776,61.87289792725851,0.9999929652555385,0.9999944247217583,0.9999927720283169,32.64206316627343,1755.4285714285713
20200527_15:15:52.379476,61.347800700661736,61.330528375733856,61.03183229813665,61.298208024931824,61.447904426165294,61.1989121989122,0.9999947227502988,0.9999944353407657,0.9999952492732894,32.822369507678104,1755.4285714285713
20200527_15:15:53.379493,60.96177847113884,61.026666666666664,61.29735511474134,60.89422326307572,60.7052590266876,60.896806853582554,0.9999943998924109,0.999993751082213,0.9999943084558852,32.81407584202407,1755.4285714285713
20200527_15:15:54.379541,61.33118405627198,61.39744597249509,60.76227591582229,60.69202190066484,60.8220605583956,60.962558502340094,0.9999926631339289,0.999994475812466,0.9999934933548716,32.949926367107196,1755.4285714285713
20200527_15:15:55.379586,61.212720156555775,61.09251968503937,61.46485747754783,60.689580885233056,61.68855021492771,61.07835091832747,0.9999947895650177,0.9999935483980245,0.9999953150608125,32.778480136981386,1755.4285714285713
20200527_15:15:56.379649,60.60470588235294,61.398410236525784,60.65845070422535,60.621711817824895,61.09860248447205,61.36374314800313,0.9999940099932126,0.9999943741244731,0.9999938684719796,32.82796206469936,1755.4285714285713
20200527_15:15:57.379720,60.721218074656186,60.58003108003108,61.127205017640144,60.60228166797797,60.5291715285881,61.17908983915261,0.9999923927851606,0.9999948911201582,0.9999937309943544,32.843220769985635,1755.4285714285713
20200527_15:16:00.379822,60.547360248447205,61.414910226385636,60.998438110113234,61.44871794871795,61.464453125,60.681395348837206,0.9999929594493391,0.9999947449933069,0.9987621803869083,32.83385396334609,1755.4285714285713
20200527_15:16:01.379890,61.047646830027226,60.64151681000782,61.182188591385334,60.64519268197742,61.06125244618395,60.947766990291264,0.9999940109708059,0.999992335193,0.9999934628885742,32.75818265762962,1755.4285714285713
20200527_15:16:02.379891,61.046162835995325,60.92616529573051,61.33203732503888,60.69461778471139,60.8235294117647,60.91300116776956,0.9999935479703634,0.999992706828917,0.9999914888419028,32.71389699407496,1755.4285714285713
20200527_15:16:03.379937,61.17993754879001,60.553767660910516,60.57830151928321,61.04474404064088,61.17819253438114,60.67777777777778,0.9999932390591849,0.9999948122775902,0.9999932120179599,32.96981694271608,1755.4285714285713
20200527_15:16:04.379959,61.12925303089558,60.70408965788439,61.04527712724434,60.993542074363994,61.22795275590551,61.381640625,0.999994037032444,0.9999918744166678,0.9999932739613537,32.845209875496835,1755.4285714285713
20200527_15:16:05.379995,60.824451410658305,61.70496287612349,60.85926505082095,60.554117647058824,61.13296832225264,61.02720156555773,0.9999933399873984,0.999993841382425,0.9999921195414225,33.06475238970427,1755.4285714285713
20200527_15:16:06.380064,61.042599136238714,61.098214285714285,61.12867215041128,61.34597249508841,60.71406371406371,60.8921568627451,0.9999937041499766,0.9999947880613531,0.9999940114547673,32.63001821738925,1755.4285714285713
20200527_15:16:07.380106,60.94099134539732,60.5291715285881,60.706043956043956,60.65236220472441,60.96339563862929,60.99194499017682,0.999993211600882,0.9999924475074565,0.9999933494172693,32.92401788081821,1755.4285714285713
20200527_15:16:08.380131,61.92340758108636,60.89555728760717,61.39775855289029,60.998826291079816,61.063182527301095,61.17755905511811,0.9999938698597244,0.9999942637945891,0.9999915799692044,32.80581761538639,1750.4273504273503
20200527_15:16:09.380180,60.76475155279503,61.146231940648185,61.772265625,60.981539059463664,60.87670965220789,61.047886777820864,0.9999941110625655,0.9999946777832358,0.999183218786055,32.97420371528193,1755.4285714285713
20200527_15:16:10.380191,61.29735511474134,60.50664841611263,60.93090062111801,61.197429906542055,60.52231793265466,60.86402486402486,0.9999928146962748,0.9999924941592309,0.9999934198917031,32.888290251232945,1755.4285714285713
20200527_15:16:11.380196,60.744349181605614,61.127742946708466,60.946518864255154,61.41533359344518,61.447822675559046,61.31393538341767,0.9999936058936558,0.9999936375229168,0.9999926484340116,32.98863784448548,1755.4285714285713
20200527_15:16:12.380210,60.75966419367435,60.65469179426776,60.51091192517537,60.89351309105119,61.025550314465406,61.19695787831513,0.9999945618678071,0.9999943350219797,0.9999946670565601,32.95141330029179,1755.4285714285713
20200527_15:16:13.380280,61.29733959311424,60.87293469708891,61.2130027333073,61.19565217391305,61.940257711831315,60.960726846424386,0.9999923451136583,0.9999925294014785,0.9999927945327314,32.87754863053357,1755.4285714285713
20200527_15:16:14.380317,61.06017248137985,61.21774824081314,60.52307391474384,61.481169085916044,61.114041892940264,61.14487079091621,0.9999929083481386,0.99875646600252,0.9999921901813014,32.99534145839152,1755.4285714285713
20200527_15:16:15.380381,61.46543597800471,61.31514563106796,60.52194357366771,61.00864779874214,60.88010104935873,60.63843137254902,0.9997010471194718,0.9999944029089675,0.999994567339316,32.746844569826806,1755.4285714285713
20200527_15:16:16.380441,60.72038567493113,61.04708171206226,61.26168040832352,61.85625,61.33209972730814,60.839622641509436,0.998589044915123,0.9999933710762327,0.9999923541370193,32.81139945876987,1755.4285714285713
20200527_15:16:17.380463,61.13164017060876,61.44853801169591,61.143194335169156,61.198098564221965,61.04623488099883,60.955905511811025,0.9987495751637034,0.9999941252313483,0.9999933882499923,32.81492811023554,1755.4285714285713
